HOME TEAM: UC San Diego	Time	Score	Margin	VISITORS: Cal State Monterey Bay
GOOD! FT SHOT by OSHITA, Christian	09:01	21-11	H 10	FOUL by Polosky,Gregg (P2T5)
GOOD! FT SHOT by OSHITA, Christian	09:01	22-11	H 11	
SUB IN : HANSEN, Chris	09:01			SUB IN : Bejsovec,Matt
SUB OUT: SHOEMAKER, Michael	09:01			SUB OUT: Polosky,Gregg
BLOCK by BROOKS, Joshua	08:41			MISSED LAYUP by Bouyea,Jonquis
REBOUND (DEF) by BROOKS, Joshua	08:39			
SUB IN : EVERMAN, Scott	08:25			
SUB OUT: OSHITA, Christian	08:25			
MISSED 3 PTR by LIPOVIC, Aleks	08:23			REBOUND (DEF) by Warren,Kevin
	07:50			TURNOVR by (TEAM)
TIMEOUT MEDIA	07:50			
MISSED LAYUP by BROOKS, Joshua	07:40			
REBOUND (OFF) by BROOKS, Joshua	07:40			
MISSED LAYUP by HANSEN, Chris	07:29			REBOUND (DEF) by Ducree,Julian
REBOUND (DEF) by BROOKS, Joshua	07:04			MISSED JUMPER by Covarrubias,Joe
	06:47			FOUL by Warren,Kevin (P1T6)
	06:47			SUB IN : Johnson,Jahvon
	06:47			SUB IN : Polosky,Gregg
	06:47			SUB OUT: Covarrubias,Joe
	06:47			SUB OUT: Ducree,Julian
MISSED LAYUP by EVERMAN, Scott	06:21			BLOCK by Bejsovec,Matt
REBOUND (OFF) by EVERMAN, Scott	06:20			
MISSED JUMPER by BROOKS, Joshua	06:17			REBOUND (DEF) by Warren,Kevin
	05:59	22-13	H 9	GOOD! LAYUP by Polosky,Gregg [PNT]
	05:59			ASSIST by Johnson,Jahvon
MISSED LAYUP by HANSEN, Chris	05:37			REBOUND (DEF) by Bouyea,Jonquis
REBOUND (DEF) by EVERMAN, Scott	05:18			MISSED 3 PTR by Bejsovec,Matt
GOOD! FT SHOT by LIPOVIC, Aleks	04:57	23-13	H 10	FOUL by Warren,Kevin (P2T7)
GOOD! FT SHOT by LIPOVIC, Aleks	04:57	24-13	H 11	
SUB IN : SHOEMAKER, Michael	04:57			SUB IN : Covarrubias,Joe
SUB IN : BALLESTERO, Anthony	04:57			SUB OUT: Warren,Kevin
SUB OUT: HANSEN, Chris	04:57			
SUB OUT: LIPOVIC, Aleks	04:57			
	04:44			TURNOVR by Bouyea,Jonquis
STEAL by SHOEMAKER, Michael	04:43			
TURNOVR by EVERMAN, Scott	04:37			
	04:36			STEAL by Johnson,Jahvon
