HOME TEAM: UC San Diego	Time	Score	Margin	VISITORS: Cal State Monterey Bay
REBOUND (DEF) by SAMPTON, Dalayna	07:33			MISSED 3 PTR by Evans,Jessie
MISSED FT SHOT by WILLIAMS, Mikayla	07:20			FOUL by Hill,McKenna (P1T4)
REBOUND (OFF) by (DEADBALL)	07:20			
GOOD! FT SHOT by WILLIAMS, Mikayla	07:20	25-21	H 4	
	07:20			SUB IN : Keaton,Courtney
	07:20			SUB IN : Fujioka,Kylie
	07:20			SUB OUT: Hill,McKenna
	07:20			SUB OUT: Sperling,Alexa
	07:06	25-23	H 2	GOOD! JUMPER by Fujioka,Kylie
FOUL by SAMPTON, Dalayna (P2T4)	06:52			
TURNOVR by SAMPTON, Dalayna	06:52			
SUB IN : ANDERSON, Haley	06:52			
SUB OUT: SAMPTON, Dalayna	06:52			
REBOUND (DEF) by MOUNIER, Beth	06:26			MISSED JUMPER by Smith,Aubri
GOOD! LAYUP by ANDERSON, Haley [FB/PNT]	06:19	27-23	H 4	
ASSIST by MOUNIER, Beth	06:19			
REBOUND (DEF) by WILLIAMS, Mikayla	06:02			MISSED JUMPER by Keaton,Courtney
MISSED 3 PTR by ANDERSON, Haley	05:55			
REBOUND (OFF) by ANDERSON, Haley	05:55			
GOOD! 3 PTR by MOUNIER, Beth	05:38	30-23	H 7	
ASSIST by ANDERSON, Haley	05:38			
FOUL by SONG, Paige (P2T5)	05:21			
SUB IN : HUGHES, Marcella	05:21			SUB IN : Golfo,Christine
SUB OUT: SONG, Paige	05:21			SUB IN : Price,Jordana
	05:21			SUB OUT: Smith,Aubri
	05:21			SUB OUT: Evans,Jessie
	05:08	30-26	H 4	GOOD! 3 PTR by Golfo,Christine
MISSED 3 PTR by MOUNIER, Beth	04:38			REBOUND (DEF) by Keaton,Courtney
FOUL by HUGHES, Marcella (P2T6)	04:17			
	04:17			TIMEOUT MEDIA
	04:17	30-27	H 3	GOOD! FT SHOT by Price,Jordana
REBOUND (DEF) by WILLIAMS, Mikayla	04:17			MISSED FT SHOT by Price,Jordana
SUB IN : SHARP, Sydney	04:17			SUB IN : Hill,McKenna
SUB IN : MACLEOD, Cassie	04:17			SUB OUT: Fujioka,Kylie
SUB OUT: YANG, Joleen	04:17			
SUB OUT: HUGHES, Marcella	04:17			
GOOD! LAYUP by WILLIAMS, Mikayla [PNT]	03:53	32-27	H 5	
ASSIST by SHARP, Sydney	03:53			
REBOUND (DEF) by SHARP, Sydney	03:26			MISSED JUMPER by Keaton,Courtney
GOOD! LAYUP by WILLIAMS, Mikayla [FB/PNT]	03:20	34-27	H 7	
ASSIST by SHARP, Sydney	03:20			
GOOD! FT SHOT by WILLIAMS, Mikayla	03:20	35-27	H 8	FOUL by Keaton,Courtney (P1T5)
	03:20			SUB IN : Hardin,Emily
	03:20			SUB IN : Sperling,Alexa
	03:20			SUB IN : Saelio,Jennifer
	03:20			SUB OUT: Dorn,Victoria
	03:20			SUB OUT: Golfo,Christine
	03:20			SUB OUT: Keaton,Courtney
	03:20			SUB OUT: Price,Jordana
REBOUND (DEF) by MOUNIER, Beth	03:11			MISSED 3 PTR by Hardin,Emily
MISSED 3 PTR by MACLEOD, Cassie	02:56			REBOUND (DEF) by Saelio,Jennifer
	02:52			SUB IN : Golfo,Christine
REBOUND (DEF) by WILLIAMS, Mikayla	02:27			MISSED JUMPER by Hill,McKenna
MISSED 3 PTR by MOUNIER, Beth	02:07			REBOUND (DEF) by Hardin,Emily
	01:58			TURNOVR by Saelio,Jennifer
MISSED JUMPER by MOUNIER, Beth	01:37			
REBOUND (OFF) by WILLIAMS, Mikayla	01:37			
MISSED JUMPER by WILLIAMS, Mikayla	01:33			REBOUND (DEF) by Golfo,Christine
	01:31			TIMEOUT TEAM
BLOCK by MACLEOD, Cassie	01:22			MISSED 3 PTR by Hardin,Emily
	01:22			REBOUND (OFF) by (TEAM)
REBOUND (DEF) by MACLEOD, Cassie	01:19			MISSED JUMPER by Sperling,Alexa
GOOD! LAYUP by MACLEOD, Cassie [PNT]	01:03	37-27	H 10	
FOUL by WILLIAMS, Mikayla (P1T7)	00:45	37-28	H 9	GOOD! FT SHOT by Hill,McKenna
	00:45	37-29	H 8	GOOD! FT SHOT by Hill,McKenna
TIMEOUT TEAM	00:45			
SUB IN : YANG, Joleen	00:45			SUB IN : Dorn,Victoria
SUB OUT: SHARP, Sydney	00:45			SUB OUT: Saelio,Jennifer
	00:32			FOUL by Golfo,Christine (P1T6)
MISSED 3 PTR by MOUNIER, Beth	00:09			
REBOUND (OFF) by MACLEOD, Cassie	00:09			
MISSED 3 PTR by MOUNIER, Beth	00:01			REBOUND (DEF) by Dorn,Victoria
GOOD! LAYUP by SAMPTON, Dalayna [PNT]	09:50	39-29	H 10	
ASSIST by YANG, Joleen	09:50			
MISSED FT SHOT by SAMPTON, Dalayna	09:50			FOUL by Evans,Jessie (P1T1)
	09:50			REBOUND (DEF) by Keaton,Courtney
	09:35			TURNOVR by Smith,Aubri
STEAL by MOUNIER, Beth	09:34			
TURNOVR by MOUNIER, Beth	09:16			
	09:14			STEAL by Smith,Aubri
REBOUND (DEF) by SONG, Paige	09:10			MISSED 3 PTR by Evans,Jessie
MISSED JUMPER by SONG, Paige	09:00			REBOUND (DEF) by Smith,Aubri
REBOUND (DEF) by SONG, Paige	08:53			MISSED 3 PTR by Dorn,Victoria
GOOD! JUMPER by SAMPTON, Dalayna	08:27	41-29	H 12	
ASSIST by MACLEOD, Cassie	08:27			
REBOUND (DEF) by MACLEOD, Cassie	08:13			MISSED LAYUP by Keaton,Courtney
TURNOVR by SONG, Paige	07:56			
	07:55			STEAL by Smith,Aubri
	07:47	41-31	H 10	GOOD! LAYUP by Hill,McKenna [PNT]
	07:47			ASSIST by Smith,Aubri
FOUL by MACLEOD, Cassie (P1T1)	07:47			MISSED FT SHOT by Hill,McKenna
REBOUND (DEF) by MACLEOD, Cassie	07:47			
MISSED 3 PTR by MOUNIER, Beth	07:41			
REBOUND (OFF) by SAMPTON, Dalayna	07:41			
GOOD! LAYUP by SAMPTON, Dalayna [PNT]	07:37	43-31	H 12	
REBOUND (DEF) by SAMPTON, Dalayna	07:25			MISSED JUMPER by Smith,Aubri
GOOD! FT SHOT by YANG, Joleen	07:16	44-31	H 13	FOUL by Evans,Jessie (P2T2)
GOOD! FT SHOT by YANG, Joleen	07:16	45-31	H 14	
SUB IN : HUGHES, Marcella	07:16			SUB IN : Hardin,Emily
SUB IN : WILLIAMS, Mikayla	07:16			SUB IN : Sperling,Alexa
SUB OUT: SAMPTON, Dalayna	07:16			SUB OUT: Keaton,Courtney
SUB OUT: MOUNIER, Beth	07:16			SUB OUT: Evans,Jessie
	07:06	45-33	H 12	GOOD! JUMPER by Hill,McKenna
	07:06			ASSIST by Dorn,Victoria
TURNOVR by WILLIAMS, Mikayla	06:48			STEAL by Smith,Aubri
	06:35			TURNOVR by Smith,Aubri
GOOD! FT SHOT by YANG, Joleen	06:16	46-33	H 13	FOUL by Sperling,Alexa (P2T3)
GOOD! FT SHOT by YANG, Joleen	06:16	47-33	H 14	
SUB IN : SAMPTON, Dalayna	06:16			
SUB IN : ANDERSON, Haley	06:16			
SUB OUT: SONG, Paige	06:16			
SUB OUT: MACLEOD, Cassie	06:16			
	06:03			MISSED JUMPER by Hill,McKenna
	06:03			REBOUND (OFF) by Smith,Aubri
	05:58			TURNOVR by Smith,Aubri
MISSED 3 PTR by YANG, Joleen	05:45			REBOUND (DEF) by Sperling,Alexa
REBOUND (DEF) by HUGHES, Marcella	05:34			MISSED 3 PTR by Dorn,Victoria
TURNOVR by HUGHES, Marcella	05:28			
SUB IN : SHARP, Sydney	05:28			
SUB OUT: HUGHES, Marcella	05:28			
REBOUND (DEF) by SAMPTON, Dalayna	05:14			MISSED JUMPER by Dorn,Victoria
	04:56			FOUL by Sperling,Alexa (P3T4)
TIMEOUT MEDIA	04:56			
MISSED FT SHOT by WILLIAMS, Mikayla	04:56			
REBOUND (OFF) by (DEADBALL)	04:56			
GOOD! FT SHOT by WILLIAMS, Mikayla	04:56	48-33	H 15	
	04:56			SUB IN : Fujioka,Kylie
	04:56			SUB IN : Golfo,Christine
	04:56			SUB OUT: Sperling,Alexa
	04:56			SUB OUT: Dorn,Victoria
FOUL by YANG, Joleen (P1T2)	04:33			
FOUL by SAMPTON, Dalayna (P3T3)	04:26			MISSED FT SHOT by Hardin,Emily
	04:26			REBOUND (OFF) by (DEADBALL)
REBOUND (DEF) by MACLEOD, Cassie	04:26			MISSED FT SHOT by Hardin,Emily
SUB IN : MACLEOD, Cassie	04:26			
SUB OUT: SAMPTON, Dalayna	04:26			
GOOD! LAYUP by MACLEOD, Cassie [PNT]	04:11	50-33	H 17	
REBOUND (DEF) by (TEAM)	03:56			MISSED JUMPER by Fujioka,Kylie
MISSED 3 PTR by SHARP, Sydney	03:32			BLOCK by Hardin,Emily
	03:29			REBOUND (DEF) by Golfo,Christine
REBOUND (DEF) by ANDERSON, Haley	03:17			MISSED JUMPER by Golfo,Christine
GOOD! FT SHOT by YANG, Joleen	03:08	51-33	H 18	FOUL by Smith,Aubri (P2T5)
GOOD! FT SHOT by YANG, Joleen	03:08	52-33	H 19	
SUB IN : MOUNIER, Beth	03:08			SUB IN : Thompson,Vai
SUB OUT: YANG, Joleen	03:08			SUB OUT: Hardin,Emily
FOUL by WILLIAMS, Mikayla (P2T4)	02:45	52-34	H 18	GOOD! FT SHOT by Hill,McKenna
	02:45	52-35	H 17	GOOD! FT SHOT by Hill,McKenna
MISSED 3 PTR by ANDERSON, Haley	02:24			REBOUND (DEF) by Thompson,Vai
BLOCK by ANDERSON, Haley	02:13			MISSED LAYUP by Golfo,Christine
	02:11			REBOUND (OFF) by Fujioka,Kylie
REBOUND (DEF) by MOUNIER, Beth	02:04			MISSED 3 PTR by Golfo,Christine
MISSED 3 PTR by ANDERSON, Haley	01:56			REBOUND (DEF) by (TEAM)
	01:52			SUB IN : Price,Jordana
	01:52			SUB OUT: Golfo,Christine
FOUL by ANDERSON, Haley (P1T5)	01:36	52-36	H 16	GOOD! FT SHOT by Thompson,Vai
	01:36			TURNOVR by Fujioka,Kylie
SUB IN : SONG, Paige	01:36			
SUB OUT: ANDERSON, Haley	01:36			
GOOD! FT SHOT by WILLIAMS, Mikayla	01:27	53-36	H 17	FOUL by Fujioka,Kylie (P1T6)
GOOD! FT SHOT by WILLIAMS, Mikayla	01:27	54-36	H 18	
	01:27			SUB IN : Keaton,Courtney
	01:27			SUB OUT: Fujioka,Kylie
FOUL by MOUNIER, Beth (P1T6)	01:04	54-37	H 17	GOOD! FT SHOT by Thompson,Vai
	01:04	54-38	H 16	GOOD! FT SHOT by Thompson,Vai
GOOD! 3 PTR by MOUNIER, Beth	00:52	57-38	H 19	
ASSIST by WILLIAMS, Mikayla	00:52			
	00:38			TURNOVR by Hill,McKenna
STEAL by MACLEOD, Cassie	00:37			
TURNOVR by MOUNIER, Beth	00:32			
	00:31			STEAL by Price,Jordana
	00:27			MISSED LAYUP by Keaton,Courtney
	00:27			REBOUND (OFF) by Keaton,Courtney
FOUL by MOUNIER, Beth (P2T7)	00:22	57-39	H 18	GOOD! FT SHOT by Price,Jordana
	00:22			MISSED FT SHOT by Price,Jordana
	00:22			REBOUND (OFF) by (DEADBALL)
	00:22	57-40	H 17	GOOD! FT SHOT by Price,Jordana
	00:22			SUB IN : Saelio,Jennifer
	00:22			SUB OUT: Smith,Aubri
TURNOVR by WILLIAMS, Mikayla	00:03			
	00:02			STEAL by Price,Jordana
SUB IN : SAMPTON, Dalayna	00:00			SUB IN : Smith,Aubri
SUB IN : YANG, Joleen	00:00			SUB OUT: Saelio,Jennifer
SUB OUT: SHARP, Sydney	00:00			
SUB OUT: WILLIAMS, Mikayla	00:00	
	09:58			MISSED LAYUP by Thompson,Vai
	09:58			REBOUND (OFF) by Thompson,Vai
	09:56	57-43	H 14	GOOD! 3 PTR by Smith,Aubri
	09:56			ASSIST by Price,Jordana
MISSED JUMPER by SAMPTON, Dalayna	09:23			
REBOUND (OFF) by SAMPTON, Dalayna	09:23			
GOOD! FT SHOT by SAMPTON, Dalayna	09:21	58-43	H 15	FOUL by Thompson,Vai (P1T7)
MISSED FT SHOT by SAMPTON, Dalayna	09:21			REBOUND (DEF) by Hill,McKenna
	09:21			SUB IN : Price,Jordana
	09:21			SUB OUT: Dorn,Victoria
	09:03	58-45	H 13	GOOD! LAYUP by Thompson,Vai [PNT]
	09:03			ASSIST by Keaton,Courtney
GOOD! 3 PTR by SONG, Paige	08:51	61-45	H 16	
ASSIST by YANG, Joleen	08:51			
	08:31	61-47	H 14	GOOD! LAYUP by Keaton,Courtney [PNT]
	08:31			ASSIST by Hill,McKenna
TIMEOUT TEAM	08:30			
TIMEOUT MEDIA	08:30			
	08:30			SUB IN : Dorn,Victoria
	08:30			SUB IN : Thompson,Vai
	08:30			SUB OUT: Evans,Jessie
	08:30			SUB OUT: Price,Jordana
	08:12			FOUL by Smith,Aubri (P3T8)
MISSED LAYUP by SAMPTON, Dalayna	08:04			REBOUND (DEF) by Thompson,Vai
FOUL by SAMPTON, Dalayna (P4T8)	07:47			MISSED FT SHOT by Keaton,Courtney
	07:47			REBOUND (OFF) by (DEADBALL)
REBOUND (DEF) by MACLEOD, Cassie	07:47			MISSED FT SHOT by Keaton,Courtney
SUB IN : WILLIAMS, Mikayla	07:47			
SUB OUT: SAMPTON, Dalayna	07:47			
MISSED JUMPER by MOUNIER, Beth	07:32			REBOUND (DEF) by Smith,Aubri
	07:29			TURNOVR by Smith,Aubri
STEAL by WILLIAMS, Mikayla	07:28			
GOOD! LAYUP by MOUNIER, Beth [PNT]	07:26	63-47	H 16	
ASSIST by WILLIAMS, Mikayla	07:26			
	06:52			MISSED JUMPER by Smith,Aubri
	06:52			REBOUND (OFF) by Keaton,Courtney
REBOUND (DEF) by WILLIAMS, Mikayla	06:49			MISSED LAYUP by Keaton,Courtney
MISSED 3 PTR by MOUNIER, Beth	06:32			REBOUND (DEF) by Thompson,Vai
REBOUND (DEF) by MOUNIER, Beth	06:12			MISSED JUMPER by Smith,Aubri
TURNOVR by MOUNIER, Beth	06:02			
	06:01			STEAL by Smith,Aubri
	05:57	63-49	H 14	GOOD! JUMPER by Dorn,Victoria
MISSED JUMPER by YANG, Joleen	05:33			REBOUND (DEF) by Thompson,Vai
REBOUND (DEF) by MOUNIER, Beth	05:10			MISSED JUMPER by Smith,Aubri
MISSED 3 PTR by SONG, Paige	05:01			REBOUND (DEF) by Hill,McKenna
REBOUND (DEF) by MACLEOD, Cassie	04:51			MISSED 3 PTR by Dorn,Victoria
	04:31			FOUL by Hill,McKenna (P2T9)
